stage,scope,decisions,semantic_top1_accuracy,routing_accuracy,gate_activation_rate,mean_lambda_dyn
CL1,ALL,814,1.0,1.0,0.0,0.0
CL2,ALL,1518,0.9769433465085638,0.9749670619235836,0.11462450592885376,0.017399844103190534
CL3,ALL,2190,0.8849315068493151,0.891324200913242,0.46621004566210045,0.0794322309565301
CL4,ALL,3360,0.8904761904761904,0.8830357142857143,0.3574404761904762,0.05689584275892905
