scope,decisions,semantic_top1_accuracy,routing_accuracy,gate_activation_rate,mean_lambda_dyn
ALL,1518,0.9769433465085638,0.9749670619235836,0.11462450592885376,0.017399844103190534
T6,1041,0.9663784822286263,0.9634966378482228,0.1642651296829971,0.025371347191998756
T7,477,1.0,1.0,0.006289308176100629,2.915978558737705e-06
