scope,decisions,semantic_top1_accuracy,routing_accuracy,gate_activation_rate,mean_lambda_dyn
ALL,2190,0.8849315068493151,0.891324200913242,0.46621004566210045,0.0794322309565301
T6,1106,0.7902350813743219,0.8146473779385172,0.6491862567811935,0.1188366777119784
T7,473,1.0,1.0,0.006342494714587738,2.9698615716785464e-06
T8,611,0.967266775777414,0.9459901800327333,0.4909983633387889,0.06959380605700403
