scope,decisions,semantic_top1_accuracy,routing_accuracy,gate_activation_rate,mean_lambda_dyn
ALL,3360,0.8904761904761904,0.8830357142857143,0.3574404761904762,0.05689584275892905
T6,1103,0.6890299184043518,0.6944696282864914,0.6536718041704442,0.11718970135430856
T7,481,1.0,1.0,0.006237006237006237,2.723585776206775e-06
T8,762,0.968503937007874,0.9291338582677166,0.5236220472440944,0.06901577361183753
T9,1014,0.9990138067061144,0.9980276134122288,0.07692307692307693,0.009189804279310482
